,Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr), ,Turnover (â‚¹ Cr),CPR,CPRh,CPRl,R1,R2,R3,S1,S2,S3,CPRWidth,crossed,worked
47,18-JAN-2016,7420.35,7463.65,7336.4,7351.0,240798183.0,8431.56,,,7476.666666666667,7456.833333333334,7496.5,7526.333333333334,7615.666666666667,7665.333333333334,7387.333333333334,7337.666666666667,7248.333333333334,0.5305394560855915,RS2,Y
48,19-JAN-2016,7381.8,7462.75,7364.15,7435.1,194068339.0,7038.84,,,7383.333333333333,7367.166666666666,7399.5,7430.666666666666,7510.333333333333,7557.666666666666,7303.666666666666,7256.333333333333,7176.666666666666,0.43792325056434234,R1S,Y
49,20-JAN-2016,7357.0,7470.9,7241.5,7309.3,232614141.0,8794.16,,,7420.333333333333,7427.666666666666,7413.0,7476.666666666666,7518.333333333333,7574.666666666666,7378.666666666666,7322.333333333333,7280.666666666666,0.19765509186468797,RS3,Y
50,21-JAN-2016,7376.65,7398.7,7250.0,7276.8,248113284.0,9401.16,,,7340.0,7324.5,7355.5,7439.0,7569.0,7668.0,7210.0,7111.0,6981.0,0.4223433242506812,RS,Y
51,22-JAN-2016,7355.7,7433.4,7327.6,7422.45,236282061.0,7666.39,,,7308.0,7292.0,7324.0,7366.0,7456.0,7514.0,7218.0,7160.0,7070.0,0.4378762999452655,R1S,Y
52,25-JAN-2016,7468.75,7487.15,7421.2,7436.15,168202502.0,5910.99,,,7394.0,7408.0,7380.0,7461.0,7500.0,7567.0,7355.0,7288.0,7249.0,0.37868542061130644,R1S,Y
53,27-JAN-2016,7469.6,7477.9,7419.7,7437.75,193389891.0,6834.77,,,7448.0,7442.0,7454.0,7475.0,7514.0,7541.0,7409.0,7382.0,7343.0,0.1611170784103115,R1S,N
54,28-JAN-2016,7426.5,7468.85,7409.6,7424.65,283036298.0,10049.88,,,7444.333333333333,7440.666666666666,7448.0,7469.666666666666,7502.333333333333,7527.666666666666,7411.666666666666,7386.333333333333,7353.666666666666,0.09850893296915694,RS1,N
55,29-JAN-2016,7413.35,7575.65,7402.8,7563.55,307934042.0,11277.33,,,7433.666666666667,7428.833333333334,7438.5,7458.333333333334,7492.666666666667,7517.333333333334,7399.333333333334,7374.666666666667,7340.333333333334,0.13003901170350288,R3S,Y
56,01-FEB-2016,7589.5,7600.45,7541.25,7555.95,206645021.0,8209.5,,,7513.333333333333,7538.166666666666,7488.5,7624.666666666666,7686.333333333333,7797.666666666666,7451.666666666666,7340.333333333333,7278.666666666666,0.6610470275066468,RS,Y
57,02-FEB-2016,7566.65,7576.3,7428.05,7455.55,237338907.0,8030.99,,,7565.333333333333,7560.166666666666,7570.5,7589.666666666666,7624.333333333333,7648.666666666666,7530.666666666666,7506.333333333333,7471.666666666666,0.136587945012345,RS3,Y
58,03-FEB-2016,7392.45,7419.4,7350.3,7361.8,197863301.0,6748.17,,,7486.333333333333,7470.666666666666,7502.0,7544.666666666666,7634.333333333333,7692.666666666666,7396.666666666666,7338.333333333333,7248.666666666666,0.41854045148938873,RS1,Y
59,04-FEB-2016,7411.45,7457.05,7365.95,7404.0,229563364.0,7465.35,,,7376.666666666667,7368.833333333334,7384.5,7403.333333333334,7445.666666666667,7472.333333333334,7334.333333333334,7307.666666666667,7265.333333333334,0.21238138273835597,R2S,N
60,05-FEB-2016,7418.25,7503.15,7406.65,7489.1,257518899.0,8628.24,,,7408.666666666667,7406.333333333334,7411.0,7452.333333333334,7500.666666666667,7544.333333333334,7360.333333333334,7316.666666666667,7268.333333333334,0.06298929182038235,R2S,Y
61,08-FEB-2016,7489.7,7512.55,7363.2,7387.25,176758985.0,5746.45,,,7466.0,7477.5,7454.5,7526.0,7563.0,7623.0,7429.0,7369.0,7332.0,0.3080632199303509,RS2,Y
62,09-FEB-2016,7303.95,7323.45,7275.15,7298.2,218730280.0,7415.13,,,7420.666666666667,7403.833333333334,7437.5,7478.333333333334,7569.666666666667,7627.333333333334,7329.333333333334,7271.666666666667,7180.333333333334,0.4536878986613879,RS1,Y
63,10-FEB-2016,7264.3,7271.85,7177.75,7215.7,254481339.0,8129.65,,,7298.666666666667,7298.333333333334,7299.0,7322.333333333334,7346.666666666667,7370.333333333334,7274.333333333334,7250.666666666667,7226.333333333334,0.009134088417967577,RS3,Y
64,11-FEB-2016,7203.6,7208.65,6959.95,6976.35,301302956.0,9250.27,,,7221.0,7218.0,7224.0,7265.0,7315.0,7359.0,7171.0,7127.0,7077.0,0.08309098462816784,RS3,Y
65,12-FEB-2016,7023.65,7034.8,6869.0,6980.95,344210729.0,11062.63,,,7047.666666666667,7011.833333333334,7083.5,7136.333333333334,7296.666666666667,7385.333333333334,6887.333333333334,6798.666666666667,6638.333333333334,1.0168850210471465,RS1,Y
66,15-FEB-2016,7057.35,7182.8,7056.8,7162.95,365217073.0,10204.34,,,6961.0,6970.5,6951.5,7053.0,7126.0,7218.0,6888.0,6796.0,6723.0,0.27294928889527365,R2S,N
67,16-FEB-2016,7201.25,7204.65,7037.7,7048.25,261607451.0,7638.39,,,7133.333333333333,7147.666666666666,7119.0,7210.666666666666,7259.333333333333,7336.666666666666,7084.666666666666,7007.333333333333,6958.666666666666,0.4018691588784962,RS1,Y
68,17-FEB-2016,7058.85,7123.7,6960.65,7108.45,268017961.0,7686.32,,,7096.333333333333,7072.166666666666,7120.5,7155.666666666666,7263.333333333333,7322.666666666666,6988.666666666666,6929.333333333333,6821.666666666666,0.681102916999398,RS1,Y
69,18-FEB-2016,7177.4,7215.1,7127.85,7191.75,254331498.0,8051.51,,,7063.666666666667,7085.833333333334,7041.5,7167.333333333334,7226.666666666667,7330.333333333334,7004.333333333334,6900.666666666667,6841.333333333334,0.627624935113972,R1S,Y
70,19-FEB-2016,7170.55,7226.85,7145.95,7210.75,198206480.0,6156.58,,,7177.666666666667,7184.333333333334,7171.0,7228.333333333334,7265.666666666667,7316.333333333334,7140.333333333334,7089.666666666667,7052.333333333334,0.18576138949520188,RS,N
71,22-FEB-2016,7208.85,7252.4,7200.7,7234.55,159162842.0,5832.89,,,7193.666666666667,7201.833333333334,7185.5,7242.333333333334,7274.666666666667,7323.333333333334,7161.333333333334,7112.666666666667,7080.333333333334,0.22705157314305088,R1S,Y
72,23-FEB-2016,7240.3,7241.7,7090.7,7109.55,200396978.0,6433.16,,,7228.666666666667,7231.333333333334,7226.0,7257.333333333334,7280.666666666667,7309.333333333334,7205.333333333334,7176.666666666667,7153.333333333334,0.07378031909988848,RS3,Y
73,24-FEB-2016,7075.0,7090.8,7009.75,7018.7,205898417.0,6497.18,,,7146.666666666667,7127.833333333334,7165.5,7203.333333333334,7297.666666666667,7354.333333333334,7052.333333333334,6995.666666666667,6901.333333333334,0.5270522388059616,RS1,Y
74,25-FEB-2016,7029.85,7034.2,6961.4,6970.6,291932544.0,9090.16,,,7039.0,7028.5,7049.5,7069.0,7120.0,7150.0,6988.0,6958.0,6907.0,0.29833783207842024,RS1,Y
75,26-FEB-2016,7039.3,7052.9,6985.1,7029.75,213142575.0,6880.96,,,6988.333333333333,6979.166666666666,6997.5,7015.666666666666,7061.333333333333,7088.666666666666,6942.666666666666,6915.333333333333,6869.666666666666,0.2623419985690523,R1S,Y
76,29-FEB-2016,7050.45,7094.6,6825.8,6987.05,487969285.0,15992.15,,,7022.0,7025.5,7018.5,7059.0,7089.0,7126.0,6992.0,6955.0,6925.0,0.09968669894616917,R2S3,Y
77,01-MAR-2016,7038.25,7235.5,7035.1,7222.3,283561570.0,9896.58,,,6968.666666666667,6977.833333333334,6959.5,7112.333333333334,7237.666666666667,7381.333333333334,6843.333333333334,6699.666666666667,6574.333333333334,0.2630823686979901,R1S,Y
78,02-MAR-2016,7321.7,7380.35,7308.15,7368.85,348965708.0,10983.06,,,7164.0,7193.0,7135.0,7293.0,7364.0,7493.0,7093.0,6964.0,6893.0,0.809603573422669,R2S,N
79,03-MAR-2016,7429.55,7483.95,7406.05,7475.6,287248532.0,9255.43,,,7352.0,7360.0,7344.0,7396.0,7424.0,7468.0,7324.0,7280.0,7252.0,0.2176278563656148,R3S,N
80,04-MAR-2016,7505.4,7505.9,7444.1,7485.35,290441230.0,8135.06,,,7454.666666666667,7464.833333333334,7444.5,7503.333333333334,7531.666666666667,7580.333333333334,7426.333333333334,7377.666666666667,7349.333333333334,0.2727597925237069,R1S,Y
81,08-MAR-2016,7486.4,7527.15,7442.15,7485.3,264945393.0,8417.86,,,7478.0,7481.5,7474.5,7512.0,7539.0,7573.0,7451.0,7417.0,7390.0,0.09360791655522868,R1S1,N
82,09-MAR-2016,7436.1,7539.0,7424.3,7531.8,252709391.0,9036.29,,,7484.666666666667,7484.833333333334,7484.5,7527.333333333334,7569.666666666667,7612.333333333334,7442.333333333334,7399.666666666667,7357.333333333334,0.004453549478942812,R1S1,N
83,10-MAR-2016,7545.35,7547.1,7447.4,7486.15,231584305.0,8875.92,,,7498.0,7514.5,7481.5,7572.0,7613.0,7687.0,7457.0,7383.0,7342.0,0.4401173646305681,RS1,Y
84,11-MAR-2016,7484.85,7543.95,7460.6,7510.2,204806572.0,7558.55,,,7493.333333333333,7489.666666666666,7497.0,7539.666666666666,7593.333333333333,7639.666666666666,7439.666666666666,7393.333333333333,7339.666666666666,0.09786476868328212,R1S,N
85,14-MAR-2016,7542.6,7583.7,7515.05,7538.75,172067214.0,6330.45,,,7504.333333333333,7507.166666666666,7501.5,7548.666666666666,7587.333333333333,7631.666666666666,7465.666666666666,7421.333333333333,7382.666666666666,0.07551192644249181,R1S,N
86,15-MAR-2016,7535.85,7545.2,7452.8,7460.6,199653871.0,7577.78,,,7545.333333333333,7541.666666666666,7549.0,7575.666666666666,7613.333333333333,7643.666666666666,7507.666666666666,7477.333333333333,7439.666666666666,0.09719031631031022,RS2,Y
87,16-MAR-2016,7457.05,7508.0,7405.15,7498.75,201430035.0,7102.59,,,7485.666666666667,7472.833333333334,7498.5,7519.333333333334,7578.666666666667,7612.333333333334,7426.333333333334,7392.666666666667,7333.333333333334,0.34287749922072486,RS1,Y
88,17-MAR-2016,7557.4,7585.3,7479.4,7512.55,247043954.0,9539.89,,,7470.333333333333,7484.166666666666,7456.5,7535.666666666666,7573.333333333333,7638.666666666666,7432.666666666666,7367.333333333333,7329.666666666666,0.3703538440944098,R2S,N
89,18-MAR-2016,7534.65,7613.6,7517.9,7604.35,244727490.0,9971.59,,,7525.333333333333,7518.666666666666,7532.0,7571.666666666666,7631.333333333333,7677.666666666666,7465.666666666666,7419.333333333333,7359.666666666666,0.17717930545713068,R1S,N
90,21-MAR-2016,7619.2,7713.55,7617.7,7704.25,202853386.0,8381.51,,,7578.0,7591.0,7565.0,7639.0,7674.0,7735.0,7543.0,7482.0,7447.0,0.3430984428609132,R2S,N
91,22-MAR-2016,7695.55,7728.2,7643.8,7714.9,215355848.0,8628.05,,,7678.0,7691.0,7665.0,7739.0,7774.0,7835.0,7643.0,7582.0,7547.0,0.3386298515238343,RS,Y
92,23-MAR-2016,7717.45,7726.85,7670.6,7716.5,205794773.0,7612.54,,,7695.0,7704.5,7685.5,7747.0,7780.0,7832.0,7662.0,7610.0,7577.0,0.24691358024691357,RS,Y
93,28-MAR-2016,7741.0,7749.4,7587.7,7615.1,249905118.0,10102.36,,,7704.0,7710.0,7698.0,7738.0,7760.0,7794.0,7682.0,7648.0,7626.0,0.1557632398753894,R1S3,Y
94,29-MAR-2016,7606.55,7652.9,7582.25,7597.0,223493457.0,10474.75,,,7650.333333333333,7632.666666666666,7668.0,7713.666666666666,7812.333333333333,7875.666666666666,7551.666666666666,7488.333333333333,7389.666666666666,0.4618535140081122,RS,Y
95,30-MAR-2016,7651.1,7741.95,7643.45,7735.2,239843751.0,9908.6,,,7610.333333333333,7603.666666666666,7617.0,7638.666666666666,7680.333333333333,7708.666666666666,7568.666666666666,7540.333333333333,7498.666666666666,0.17520038544085592,R3S,Y
96,31-MAR-2016,7727.65,7777.6,7702.0,7738.4,391914059.0,15918.74,,,7706.333333333333,7720.666666666666,7692.0,7769.666666666666,7804.333333333333,7867.666666666666,7671.666666666666,7608.333333333333,7573.666666666666,0.37198840780309783,R1S,Y
97,01-APR-2016,7718.05,7740.15,7666.1,7713.05,189571551.0,8118.47,,,7739.0,7738.5,7739.5,7776.0,7814.0,7851.0,7701.0,7664.0,7626.0,0.01292156609381057,RS1,N
98,04-APR-2016,7733.15,7764.45,7704.4,7758.8,160277940.0,6506.44,,,7706.333333333333,7709.666666666666,7703.0,7746.666666666666,7780.333333333333,7820.666666666666,7672.666666666666,7632.333333333333,7598.666666666666,0.08650893204722601,R1S,N
99,05-APR-2016,7736.3,7736.3,7588.65,7603.2,210126897.0,8412.34,,,7742.0,7750.0,7734.0,7780.0,7802.0,7840.0,7720.0,7682.0,7660.0,0.20666494445879618,RS3,Y
100,06-APR-2016,7636.05,7638.65,7591.75,7614.35,170653808.0,6802.69,,,7642.333333333333,7622.666666666666,7662.0,7696.666666666666,7790.333333333333,7844.666666666666,7548.666666666666,7494.333333333333,7400.666666666666,0.5146770183626372,RS,Y
